trip_id,stop_id,timepoint,stop_sequence,departure_time,arrival_time
OLN01,exhibition_go,,1,7:00:00,7:00:00
OLN01,king_bathurst,,2,7:03:40,7:03:40
OLN01,queen_spadina,,3,7:05:35,7:05:35
OLN01,osgoode,,4,7:07:10,7:07:10
OLN01,queen,,5,7:08:30,7:08:30
OLN01,moss_park,,6,7:10:10,7:10:10
OLN01,corktown,,7,7:11:35,7:11:35
OLN01,distillery,,8,7:13:05,7:13:05
OLN01,east_harbour,,9,7:15:40,7:15:40
OLN01,leslieville,,10,7:17:15,7:17:15
OLN01,gerrard,,11,7:18:15,7:18:15
OLN01,pape_station,,12,7:21:10,7:21:10
OLN01,cosburn,,13,7:23:20,7:23:20
OLN01,thorncliffe_park,,14,7:28:15,7:28:15
OLN01,flemingdon_park,,15,7:30:40,7:30:40
OLN01,science_centre,,16,7:32:05,7:32:05
OLN02,exhibition_go,,1,7:02:00,7:02:00
OLN02,king_bathurst,,2,7:05:40,7:05:40
OLN02,queen_spadina,,3,7:07:35,7:07:35
OLN02,osgoode,,4,7:09:10,7:09:10
OLN02,queen,,5,7:10:30,7:10:30
OLN02,moss_park,,6,7:12:10,7:12:10
OLN02,corktown,,7,7:13:35,7:13:35
OLN02,distillery,,8,7:15:05,7:15:05
OLN02,east_harbour,,9,7:17:40,7:17:40
OLN02,leslieville,,10,7:19:15,7:19:15
OLN02,gerrard,,11,7:20:15,7:20:15
OLN02,pape_station,,12,7:23:10,7:23:10
OLN02,cosburn,,13,7:25:20,7:25:20
OLN02,thorncliffe_park,,14,7:30:15,7:30:15
OLN02,flemingdon_park,,15,7:32:40,7:32:40
OLN02,science_centre,,16,7:34:05,7:34:05
OLN03,exhibition_go,,1,7:04:00,7:04:00
OLN03,king_bathurst,,2,7:07:40,7:07:40
OLN03,queen_spadina,,3,7:09:35,7:09:35
OLN03,osgoode,,4,7:11:10,7:11:10
OLN03,queen,,5,7:12:30,7:12:30
OLN03,moss_park,,6,7:14:10,7:14:10
OLN03,corktown,,7,7:15:35,7:15:35
OLN03,distillery,,8,7:17:05,7:17:05
OLN03,east_harbour,,9,7:19:40,7:19:40
OLN03,leslieville,,10,7:21:15,7:21:15
OLN03,gerrard,,11,7:22:15,7:22:15
OLN03,pape_station,,12,7:25:10,7:25:10
OLN03,cosburn,,13,7:27:20,7:27:20
OLN03,thorncliffe_park,,14,7:32:15,7:32:15
OLN03,flemingdon_park,,15,7:34:40,7:34:40
OLN03,science_centre,,16,7:36:05,7:36:05
OLN04,exhibition_go,,1,7:06:00,7:06:00
OLN04,king_bathurst,,2,7:09:40,7:09:40
OLN04,queen_spadina,,3,7:11:35,7:11:35
OLN04,osgoode,,4,7:13:10,7:13:10
OLN04,queen,,5,7:14:30,7:14:30
OLN04,moss_park,,6,7:16:10,7:16:10
OLN04,corktown,,7,7:17:35,7:17:35
OLN04,distillery,,8,7:19:05,7:19:05
OLN04,east_harbour,,9,7:21:40,7:21:40
OLN04,leslieville,,10,7:23:15,7:23:15
OLN04,gerrard,,11,7:24:15,7:24:15
OLN04,pape_station,,12,7:27:10,7:27:10
OLN04,cosburn,,13,7:29:20,7:29:20
OLN04,thorncliffe_park,,14,7:34:15,7:34:15
OLN04,flemingdon_park,,15,7:36:40,7:36:40
OLN04,science_centre,,16,7:38:05,7:38:05
OLN05,exhibition_go,,1,7:08:00,7:08:00
OLN05,king_bathurst,,2,7:11:40,7:11:40
OLN05,queen_spadina,,3,7:13:35,7:13:35
OLN05,osgoode,,4,7:15:10,7:15:10
OLN05,queen,,5,7:16:30,7:16:30
OLN05,moss_park,,6,7:18:10,7:18:10
OLN05,corktown,,7,7:19:35,7:19:35
OLN05,distillery,,8,7:21:05,7:21:05
OLN05,east_harbour,,9,7:23:40,7:23:40
OLN05,leslieville,,10,7:25:15,7:25:15
OLN05,gerrard,,11,7:26:15,7:26:15
OLN05,pape_station,,12,7:29:10,7:29:10
OLN05,cosburn,,13,7:31:20,7:31:20
OLN05,thorncliffe_park,,14,7:36:15,7:36:15
OLN05,flemingdon_park,,15,7:38:40,7:38:40
OLN05,science_centre,,16,7:40:05,7:40:05
OLN06,exhibition_go,,1,7:10:00,7:10:00
OLN06,king_bathurst,,2,7:13:40,7:13:40
OLN06,queen_spadina,,3,7:15:35,7:15:35
OLN06,osgoode,,4,7:17:10,7:17:10
OLN06,queen,,5,7:18:30,7:18:30
OLN06,moss_park,,6,7:20:10,7:20:10
OLN06,corktown,,7,7:21:35,7:21:35
OLN06,distillery,,8,7:23:05,7:23:05
OLN06,east_harbour,,9,7:25:40,7:25:40
OLN06,leslieville,,10,7:27:15,7:27:15
OLN06,gerrard,,11,7:28:15,7:28:15
OLN06,pape_station,,12,7:31:10,7:31:10
OLN06,cosburn,,13,7:33:20,7:33:20
OLN06,thorncliffe_park,,14,7:38:15,7:38:15
OLN06,flemingdon_park,,15,7:40:40,7:40:40
OLN06,science_centre,,16,7:42:05,7:42:05
OLN07,exhibition_go,,1,7:12:00,7:12:00
OLN07,king_bathurst,,2,7:15:40,7:15:40
OLN07,queen_spadina,,3,7:17:35,7:17:35
OLN07,osgoode,,4,7:19:10,7:19:10
OLN07,queen,,5,7:20:30,7:20:30
OLN07,moss_park,,6,7:22:10,7:22:10
OLN07,corktown,,7,7:23:35,7:23:35
OLN07,distillery,,8,7:25:05,7:25:05
OLN07,east_harbour,,9,7:27:40,7:27:40
OLN07,leslieville,,10,7:29:15,7:29:15
OLN07,gerrard,,11,7:30:15,7:30:15
OLN07,pape_station,,12,7:33:10,7:33:10
OLN07,cosburn,,13,7:35:20,7:35:20
OLN07,thorncliffe_park,,14,7:40:15,7:40:15
OLN07,flemingdon_park,,15,7:42:40,7:42:40
OLN07,science_centre,,16,7:44:05,7:44:05
OLN08,exhibition_go,,1,7:14:00,7:14:00
OLN08,king_bathurst,,2,7:17:40,7:17:40
OLN08,queen_spadina,,3,7:19:35,7:19:35
OLN08,osgoode,,4,7:21:10,7:21:10
OLN08,queen,,5,7:22:30,7:22:30
OLN08,moss_park,,6,7:24:10,7:24:10
OLN08,corktown,,7,7:25:35,7:25:35
OLN08,distillery,,8,7:27:05,7:27:05
OLN08,east_harbour,,9,7:29:40,7:29:40
OLN08,leslieville,,10,7:31:15,7:31:15
OLN08,gerrard,,11,7:32:15,7:32:15
OLN08,pape_station,,12,7:35:10,7:35:10
OLN08,cosburn,,13,7:37:20,7:37:20
OLN08,thorncliffe_park,,14,7:42:15,7:42:15
OLN08,flemingdon_park,,15,7:44:40,7:44:40
OLN08,science_centre,,16,7:46:05,7:46:05
OLN09,exhibition_go,,1,7:16:00,7:16:00
OLN09,king_bathurst,,2,7:19:40,7:19:40
OLN09,queen_spadina,,3,7:21:35,7:21:35
OLN09,osgoode,,4,7:23:10,7:23:10
OLN09,queen,,5,7:24:30,7:24:30
OLN09,moss_park,,6,7:26:10,7:26:10
OLN09,corktown,,7,7:27:35,7:27:35
OLN09,distillery,,8,7:29:05,7:29:05
OLN09,east_harbour,,9,7:31:40,7:31:40
OLN09,leslieville,,10,7:33:15,7:33:15
OLN09,gerrard,,11,7:34:15,7:34:15
OLN09,pape_station,,12,7:37:10,7:37:10
OLN09,cosburn,,13,7:39:20,7:39:20
OLN09,thorncliffe_park,,14,7:44:15,7:44:15
OLN09,flemingdon_park,,15,7:46:40,7:46:40
OLN09,science_centre,,16,7:48:05,7:48:05
OLN010,exhibition_go,,1,7:18:00,7:18:00
OLN010,king_bathurst,,2,7:21:40,7:21:40
OLN010,queen_spadina,,3,7:23:35,7:23:35
OLN010,osgoode,,4,7:25:10,7:25:10
OLN010,queen,,5,7:26:30,7:26:30
OLN010,moss_park,,6,7:28:10,7:28:10
OLN010,corktown,,7,7:29:35,7:29:35
OLN010,distillery,,8,7:31:05,7:31:05
OLN010,east_harbour,,9,7:33:40,7:33:40
OLN010,leslieville,,10,7:35:15,7:35:15
OLN010,gerrard,,11,7:36:15,7:36:15
OLN010,pape_station,,12,7:39:10,7:39:10
OLN010,cosburn,,13,7:41:20,7:41:20
OLN010,thorncliffe_park,,14,7:46:15,7:46:15
OLN010,flemingdon_park,,15,7:48:40,7:48:40
OLN010,science_centre,,16,7:50:05,7:50:05
OLN011,exhibition_go,,1,7:20:00,7:20:00
OLN011,king_bathurst,,2,7:23:40,7:23:40
OLN011,queen_spadina,,3,7:25:35,7:25:35
OLN011,osgoode,,4,7:27:10,7:27:10
OLN011,queen,,5,7:28:30,7:28:30
OLN011,moss_park,,6,7:30:10,7:30:10
OLN011,corktown,,7,7:31:35,7:31:35
OLN011,distillery,,8,7:33:05,7:33:05
OLN011,east_harbour,,9,7:35:40,7:35:40
OLN011,leslieville,,10,7:37:15,7:37:15
OLN011,gerrard,,11,7:38:15,7:38:15
OLN011,pape_station,,12,7:41:10,7:41:10
OLN011,cosburn,,13,7:43:20,7:43:20
OLN011,thorncliffe_park,,14,7:48:15,7:48:15
OLN011,flemingdon_park,,15,7:50:40,7:50:40
OLN011,science_centre,,16,7:52:05,7:52:05
OLN012,exhibition_go,,1,7:22:00,7:22:00
OLN012,king_bathurst,,2,7:25:40,7:25:40
OLN012,queen_spadina,,3,7:27:35,7:27:35
OLN012,osgoode,,4,7:29:10,7:29:10
OLN012,queen,,5,7:30:30,7:30:30
OLN012,moss_park,,6,7:32:10,7:32:10
OLN012,corktown,,7,7:33:35,7:33:35
OLN012,distillery,,8,7:35:05,7:35:05
OLN012,east_harbour,,9,7:37:40,7:37:40
OLN012,leslieville,,10,7:39:15,7:39:15
OLN012,gerrard,,11,7:40:15,7:40:15
OLN012,pape_station,,12,7:43:10,7:43:10
OLN012,cosburn,,13,7:45:20,7:45:20
OLN012,thorncliffe_park,,14,7:50:15,7:50:15
OLN012,flemingdon_park,,15,7:52:40,7:52:40
OLN012,science_centre,,16,7:54:05,7:54:05
OLN013,exhibition_go,,1,7:24:00,7:24:00
OLN013,king_bathurst,,2,7:27:40,7:27:40
OLN013,queen_spadina,,3,7:29:35,7:29:35
OLN013,osgoode,,4,7:31:10,7:31:10
OLN013,queen,,5,7:32:30,7:32:30
OLN013,moss_park,,6,7:34:10,7:34:10
OLN013,corktown,,7,7:35:35,7:35:35
OLN013,distillery,,8,7:37:05,7:37:05
OLN013,east_harbour,,9,7:39:40,7:39:40
OLN013,leslieville,,10,7:41:15,7:41:15
OLN013,gerrard,,11,7:42:15,7:42:15
OLN013,pape_station,,12,7:45:10,7:45:10
OLN013,cosburn,,13,7:47:20,7:47:20
OLN013,thorncliffe_park,,14,7:52:15,7:52:15
OLN013,flemingdon_park,,15,7:54:40,7:54:40
OLN013,science_centre,,16,7:56:05,7:56:05
OLN014,exhibition_go,,1,7:26:00,7:26:00
OLN014,king_bathurst,,2,7:29:40,7:29:40
OLN014,queen_spadina,,3,7:31:35,7:31:35
OLN014,osgoode,,4,7:33:10,7:33:10
OLN014,queen,,5,7:34:30,7:34:30
OLN014,moss_park,,6,7:36:10,7:36:10
OLN014,corktown,,7,7:37:35,7:37:35
OLN014,distillery,,8,7:39:05,7:39:05
OLN014,east_harbour,,9,7:41:40,7:41:40
OLN014,leslieville,,10,7:43:15,7:43:15
OLN014,gerrard,,11,7:44:15,7:44:15
