trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
SMT_01_1001,7:16:45,7:16:45,MTD,1,
SMT_01_1001,7:19:25,7:19:25,STCL,2,
SMT_01_1001,7:22:10,7:22:10,BL,3,
SMT_01_1001,7:26:20,7:26:20,KLB,4,
SMT_01_1001,7:28:35,7:28:35,SF,5,
SMT_01_1001,7:30:00,7:30:00,union ,6,
SMT_01_1001,7:33:00,7:33:00,east_harbour,7,
SMT_01_1001,7:35:00,7:35:00,gerrard_carlaw,8,
SMT_01_1001,7:37:00,7:37:00,danforth,9,
SMT_01_1001,7:44:00,7:44:00,kennedy,10,
SMT_01_1001,7:46:00,7:46:00,lawrence,11,
SMT_01_1001,7:49:00,7:49:00,agincourt,12,
SMT_01_1001,7:51:00,7:51:00,finch,13,
SMT_01_1001,8:15:00,8:15:00,milliken,14,
SMT_01_1002,7:23:45,7:23:45,MTD,1,
SMT_01_1002,7:26:25,7:26:25,STCL,2,
SMT_01_1002,7:29:10,7:29:10,BL,3,
SMT_01_1002,7:33:20,7:33:20,KLB,4,
SMT_01_1002,7:35:35,7:35:35,SF,5,
SMT_01_1002,7:37:00,7:37:00,union ,6,
SMT_01_1002,7:40:00,7:40:00,east_harbour,7,
SMT_01_1002,7:42:00,7:42:00,gerrard_carlaw,8,
SMT_01_1002,7:44:00,7:44:00,danforth,9,
SMT_01_1002,7:51:00,7:51:00,kennedy,10,
SMT_01_1002,7:53:00,7:53:00,lawrence,11,
SMT_01_1002,7:56:00,7:56:00,agincourt,12,
SMT_01_1002,7:58:00,7:58:00,finch,13,
SMT_01_1002,8:01:00,8:01:00,milliken,14,
SMT_01_1003,7:31:45,7:31:45,MTD,1,
SMT_01_1003,7:34:25,7:34:25,STCL,2,
SMT_01_1003,7:37:10,7:37:10,BL,3,
SMT_01_1003,7:41:20,7:41:20,KLB,4,
SMT_01_1003,7:43:35,7:43:35,SF,5,
SMT_01_1003,7:45:00,7:45:00,union ,6,
SMT_01_1003,7:48:00,7:48:00,east_harbour,7,
SMT_01_1003,7:50:00,7:50:00,gerrard_carlaw,8,
SMT_01_1003,7:52:00,7:52:00,danforth,9,
SMT_01_1003,7:59:00,7:59:00,kennedy,10,
SMT_01_1003,8:01:00,8:01:00,lawrence,11,
SMT_01_1003,8:04:00,8:04:00,agincourt,12,
SMT_01_1003,8:06:00,8:06:00,finch,13,
SMT_01_1003,8:09:00,8:09:00,milliken,14,
SMT_01_1004,7:38:45,7:38:45,MTD,1,
SMT_01_1004,7:41:25,7:41:25,STCL,2,
SMT_01_1004,7:44:10,7:44:10,BL,3,
SMT_01_1004,7:48:20,7:48:20,KLB,4,
SMT_01_1004,7:50:35,7:50:35,SF,5,
SMT_01_1004,7:52:00,7:52:00,union ,6,
SMT_01_1004,7:55:00,7:55:00,east_harbour,7,
SMT_01_1004,7:57:00,7:57:00,gerrard_carlaw,8,
SMT_01_1004,7:59:00,7:59:00,danforth,9,
SMT_01_1004,8:06:00,8:06:00,kennedy,10,
SMT_01_1004,8:08:00,8:08:00,lawrence,11,
SMT_01_1004,8:11:00,8:11:00,agincourt,12,
SMT_01_1004,8:13:00,8:13:00,finch,13,
SMT_01_1004,8:16:00,8:16:00,milliken,14,
SMT_01_1005,7:46:45,7:46:45,MTD,1,
SMT_01_1005,7:49:25,7:49:25,STCL,2,
SMT_01_1005,7:52:10,7:52:10,BL,3,
SMT_01_1005,7:56:20,7:56:20,KLB,4,
SMT_01_1005,7:58:35,7:58:35,SF,5,
SMT_01_1005,8:00:00,8:00:00,union ,6,
SMT_01_1005,8:03:00,8:03:00,east_harbour,7,
SMT_01_1005,8:05:00,8:05:00,gerrard_carlaw,8,
SMT_01_1005,8:07:00,8:07:00,danforth,9,
SMT_01_1005,8:14:00,8:14:00,kennedy,10,
SMT_01_1005,8:16:00,8:16:00,lawrence,11,
SMT_01_1005,8:19:00,8:19:00,agincourt,12,
SMT_01_1005,8:21:00,8:21:00,finch,13,
SMT_01_1005,8:24:00,8:24:00,milliken,14,
SMT_01_1006,7:53:45,7:53:45,MTD,1,
SMT_01_1006,7:56:25,7:56:25,STCL,2,
SMT_01_1006,7:59:10,7:59:10,BL,3,
SMT_01_1006,8:03:20,8:03:20,KLB,4,
SMT_01_1006,8:05:35,8:05:35,SF,5,
SMT_01_1006,8:07:00,8:07:00,union ,6,
SMT_01_1006,8:10:00,8:10:00,east_harbour,7,
SMT_01_1006,8:12:00,8:12:00,gerrard_carlaw,8,
SMT_01_1006,8:14:00,8:14:00,danforth,9,
SMT_01_1006,8:21:00,8:21:00,kennedy,10,
SMT_01_1006,8:23:00,8:23:00,lawrence,11,
SMT_01_1006,8:26:00,8:26:00,agincourt,12,
SMT_01_1006,8:28:00,8:28:00,finch,13,
SMT_01_1006,8:31:00,8:31:00,milliken,14,
SMT_01_1007,8:01:45,8:01:45,MTD,1,
SMT_01_1007,8:04:25,8:04:25,STCL,2,
SMT_01_1007,8:07:10,8:07:10,BL,3,
SMT_01_1007,8:11:20,8:11:20,KLB,4,
SMT_01_1007,8:13:35,8:13:35,SF,5,
SMT_01_1007,8:15:00,8:15:00,union ,6,
SMT_01_1007,8:18:00,8:18:00,east_harbour,7,
SMT_01_1007,8:20:00,8:20:00,gerrard_carlaw,8,
SMT_01_1007,8:22:00,8:22:00,danforth,9,
